qid,original_qid,task,model_choice,correct_choice,is_correct,confidence,latency_ms,prob_a,prob_b
GRID-0035_stage1,GRID-0035,Grid,A,B,False,3,284.576416015625,0.5,0.5
GRID-0036_stage1,GRID-0036,Grid,A,B,False,3,284.2237949371338,0.73046875,0.26953125
GRID-0037_stage1,GRID-0037,Grid,A,A,True,3,284.4347953796387,0.65234375,0.34765625
GRID-0038_stage1,GRID-0038,Grid,A,B,False,3,291.26882553100586,0.59375,0.40625
GRID-0039_stage1,GRID-0039,Grid,B,B,True,3,284.34300422668457,0.46875,0.53125
GRID-0040_stage1,GRID-0040,Grid,A,A,True,3,285.91322898864746,0.59375,0.40625
GRID-0041_stage1,GRID-0041,Grid,B,B,True,3,287.24193572998047,0.2021484375,0.796875
GRID-0042_stage1,GRID-0042,Grid,B,B,True,3,285.38036346435547,0.294921875,0.70703125
GRID-0043_stage1,GRID-0043,Grid,A,A,True,3,369.396448135376,0.65234375,0.34765625
GRID-0044_stage1,GRID-0044,Grid,B,B,True,3,293.3363914489746,0.22265625,0.77734375
GRID-0045_stage1,GRID-0045,Grid,B,B,True,3,291.3851737976074,0.22265625,0.77734375
GRID-0046_stage1,GRID-0046,Grid,A,A,True,3,297.7004051208496,0.6796875,0.3203125
GRID-0047_stage1,GRID-0047,Grid,A,B,False,3,291.35584831237793,0.93359375,0.0673828125
GRID-0048_stage1,GRID-0048,Grid,B,B,True,3,286.70454025268555,0.4375,0.5625
GRID-0049_stage1,GRID-0049,Grid,A,B,False,3,289.156436920166,0.8359375,0.1640625
GRID-0050_stage1,GRID-0050,Grid,A,A,True,3,297.8668212890625,0.77734375,0.22265625
GRID-0051_stage1,GRID-0051,Grid,A,A,True,3,289.51501846313477,0.8359375,0.1640625
GRID-0052_stage1,GRID-0052,Grid,A,A,True,3,289.56127166748047,0.89453125,0.1064453125
GRID-0053_stage1,GRID-0053,Grid,A,B,False,3,290.7721996307373,0.81640625,0.1826171875
GRID-0054_stage1,GRID-0054,Grid,A,A,True,3,289.46828842163086,0.8671875,0.1328125
GRID-0055_stage1,GRID-0055,Grid,A,A,True,3,289.9975776672363,0.94140625,0.06005859375
GRID-0056_stage1,GRID-0056,Grid,A,B,False,3,292.07611083984375,0.6796875,0.3203125
GRID-0057_stage1,GRID-0057,Grid,B,B,True,3,305.74512481689453,0.34765625,0.65234375
GRID-0058_stage1,GRID-0058,Grid,A,B,False,3,316.6532516479492,0.75390625,0.2451171875
GRID-0059_stage1,GRID-0059,Grid,A,B,False,3,299.1507053375244,0.65234375,0.34765625
GRID-0060_stage1,GRID-0060,Grid,A,A,True,3,290.06075859069824,0.53125,0.46875
GRID-0061_stage1,GRID-0061,Grid,A,B,False,3,431.14304542541504,0.8515625,0.1484375
GRID-0062_stage1,GRID-0062,Grid,A,A,True,3,289.5181179046631,0.70703125,0.294921875
GRID-0063_stage1,GRID-0063,Grid,A,A,True,3,369.56238746643066,0.89453125,0.1064453125
GRID-0064_stage1,GRID-0064,Grid,A,A,True,3,289.686918258667,0.73046875,0.26953125
GRID-0065_stage1,GRID-0065,Grid,A,A,True,3,291.3217544555664,0.90625,0.09521484375
GRID-0066_stage1,GRID-0066,Grid,B,B,True,3,289.05725479125977,0.2451171875,0.75390625
GRID-0067_stage1,GRID-0067,Grid,A,B,False,3,294.8918342590332,0.59375,0.40625
GRID-0068_stage1,GRID-0068,Grid,B,B,True,3,295.06492614746094,0.4375,0.5625
GRID-0069_stage1,GRID-0069,Grid,A,B,False,3,289.1716957092285,0.75390625,0.2451171875
GRID-0070_stage1,GRID-0070,Grid,A,A,True,3,292.01316833496094,0.8671875,0.1328125
GRID-0071_stage1,GRID-0071,Grid,A,A,True,3,304.90970611572266,0.53125,0.46875
GRID-0072_stage1,GRID-0072,Grid,A,A,True,3,290.2357578277588,0.9453125,0.053466796875
GRID-0073_stage1,GRID-0073,Grid,B,B,True,3,297.26123809814453,0.1640625,0.8359375
GRID-0074_stage1,GRID-0074,Grid,B,A,False,3,290.38405418395996,0.376953125,0.62109375
GRID-0075_stage1,GRID-0075,Grid,A,A,True,3,293.90525817871094,0.81640625,0.1826171875
GRID-0076_stage1,GRID-0076,Grid,A,A,True,3,284.1804027557373,0.796875,0.2021484375
GRID-0077_stage1,GRID-0077,Grid,B,B,True,3,284.4500541687012,0.1328125,0.8671875
GRID-0078_stage1,GRID-0078,Grid,A,B,False,3,284.73830223083496,0.5,0.5
GRID-0079_stage1,GRID-0079,Grid,A,A,True,3,295.84360122680664,0.70703125,0.294921875
GRID-0080_stage1,GRID-0080,Grid,B,A,False,3,340.93189239501953,0.46875,0.53125
GRID-0081_stage1,GRID-0081,Grid,A,B,False,3,292.3269271850586,0.81640625,0.1826171875
GRID-0082_stage1,GRID-0082,Grid,A,A,True,3,290.59553146362305,0.87890625,0.119140625
GRID-0083_stage1,GRID-0083,Grid,A,A,True,3,370.62525749206543,0.92578125,0.07568359375
GRID-0084_stage1,GRID-0084,Grid,A,B,False,3,289.9758815765381,0.62109375,0.376953125
GRID-0085_stage1,GRID-0085,Grid,A,B,False,3,298.40970039367676,0.53125,0.46875
GRID-0086_stage1,GRID-0086,Grid,A,A,True,3,290.942907333374,0.9140625,0.0849609375
GRID-0087_stage1,GRID-0087,Grid,A,A,True,3,290.52257537841797,0.8671875,0.1328125
GRID-0088_stage1,GRID-0088,Grid,A,B,False,3,292.072057723999,0.53125,0.46875
GRID-0089_stage1,GRID-0089,Grid,B,B,True,3,292.0804023742676,0.1328125,0.8671875
GRID-0090_stage1,GRID-0090,Grid,B.,A,False,3,320.83606719970703,0.46875,0.53125
GRID-0091_stage1,GRID-0091,Grid,B,B,True,3,385.21456718444824,0.376953125,0.62109375
GRID-0092_stage1,GRID-0092,Grid,A,B,False,3,289.92414474487305,0.70703125,0.294921875
GRID-0093_stage1,GRID-0093,Grid,A,A,True,3,289.2603874206543,0.6796875,0.3203125
GRID-0094_stage1,GRID-0094,Grid,A,A,True,3,295.2711582183838,0.8671875,0.1328125
GRID-0095_stage1,GRID-0095,Grid,A,B,False,3,290.3146743774414,0.70703125,0.294921875
GRID-0096_stage1,GRID-0096,Grid,A,A,True,3,295.3171730041504,0.90625,0.09521484375
GRID-0097_stage1,GRID-0097,Grid,A,A,True,3,292.034387588501,0.796875,0.2021484375
GRID-0098_stage1,GRID-0098,Grid,B,B,True,3,294.5997714996338,0.2451171875,0.75390625
GRID-0099_stage1,GRID-0099,Grid,A,A,True,3,361.39941215515137,0.81640625,0.1826171875
GRID-0100_stage1,GRID-0100,Grid,A,A,True,3,299.2229461669922,0.90625,0.09521484375
GRID-0101_stage1,GRID-0101,Grid,A,A,True,3,361.34839057922363,0.59375,0.40625
GRID-0102_stage1,GRID-0102,Grid,A,A,True,3,303.15542221069336,0.8515625,0.1484375
GRID-0103_stage1,GRID-0103,Grid,B,B,True,3,345.71194648742676,0.26953125,0.73046875
GRID-0104_stage1,GRID-0104,Grid,B,B,True,3,297.3918914794922,0.376953125,0.62109375
GRID-0105_stage1,GRID-0105,Grid,B,A,False,3,290.1792526245117,0.294921875,0.70703125
GRID-0106_stage1,GRID-0106,Grid,B,B,True,3,292.9394245147705,0.1484375,0.8515625
GRID-0107_stage1,GRID-0107,Grid,B,B,True,3,294.39425468444824,0.1826171875,0.81640625
GRID-0108_stage1,GRID-0108,Grid,A,A,True,3,311.42520904541016,0.90625,0.09521484375
GRID-0109_stage1,GRID-0109,Grid,A,B,False,3,291.1195755004883,0.5625,0.4375
GRID-0110_stage1,GRID-0110,Grid,B,B,True,3,291.2712097167969,0.1826171875,0.81640625
GRID-0111_stage1,GRID-0111,Grid,A,B,False,3,294.3580150604248,0.8671875,0.1328125
GRID-0112_stage1,GRID-0112,Grid,B,B,True,3,298.2189655303955,0.22265625,0.77734375
GRID-0113_stage1,GRID-0113,Grid,A,A,True,3,348.24252128601074,0.9140625,0.0849609375
GRID-0114_stage1,GRID-0114,Grid,A,A,True,3,287.4302864074707,0.9140625,0.0849609375
GRID-0115_stage1,GRID-0115,Grid,A,B,False,3,287.1663570404053,0.92578125,0.07568359375
GRID-0116_stage1,GRID-0116,Grid,A,A,True,3,287.55831718444824,0.953125,0.04736328125
GRID-0117_stage1,GRID-0117,Grid,A,B,False,3,292.3707962036133,0.8671875,0.1328125
GRID-0118_stage1,GRID-0118,Grid,A,A,True,3,285.9525680541992,0.96875,0.029296875
GRID-0119_stage1,GRID-0119,Grid,A,A,True,3,285.86483001708984,0.77734375,0.22265625
GRID-0120_stage1,GRID-0120,Grid,A,A,True,3,285.6631278991699,0.90625,0.09521484375
GRID-0121_stage1,GRID-0121,Grid,A,B,False,3,285.8717441558838,0.796875,0.2021484375
GRID-0122_stage1,GRID-0122,Grid,A,A,True,3,286.0555648803711,0.77734375,0.22265625
GRID-0123_stage1,GRID-0123,Grid,A,A,True,3,286.5867614746094,0.9140625,0.0849609375
GRID-0124_stage1,GRID-0124,Grid,A,B,False,3,285.3837013244629,0.70703125,0.294921875
GRID-0125_stage1,GRID-0125,Grid,A,A,True,3,285.95685958862305,0.8515625,0.1484375
GRID-0126_stage1,GRID-0126,Grid,A,A,True,3,291.0153865814209,0.81640625,0.1826171875
GRID-0127_stage1,GRID-0127,Grid,A,B,False,3,286.2582206726074,0.81640625,0.1826171875
GRID-0128_stage1,GRID-0128,Grid,A,A,True,3,285.9315872192383,0.796875,0.2021484375
GRID-0129_stage1,GRID-0129,Grid,A,A,True,3,285.6900691986084,0.8515625,0.1484375
GRID-0130_stage1,GRID-0130,Grid,B,B,True,3,357.49197006225586,0.34765625,0.65234375
GRID-0131_stage1,GRID-0131,Grid,B,B,True,3,286.4978313446045,0.40625,0.59375
GRID-0132_stage1,GRID-0132,Grid,A,A,True,3,285.54296493530273,0.9453125,0.053466796875
GRID-0133_stage1,GRID-0133,Grid,A,A,True,3,353.7263870239258,0.73046875,0.26953125
GRID-0134_stage1,GRID-0134,Grid,B,B,True,3,285.8719825744629,0.376953125,0.62109375
GRID-0135_stage1,GRID-0135,Grid,B,B,True,3,286.069393157959,0.22265625,0.77734375
GRID-0136_stage1,GRID-0136,Grid,B,B,True,3,285.70103645324707,0.1826171875,0.81640625
GRID-0137_stage1,GRID-0137,Grid,A,A,True,3,286.14020347595215,0.95703125,0.0419921875
GRID-0138_stage1,GRID-0138,Grid,B,B,True,3,286.96703910827637,0.0849609375,0.9140625
GRID-0139_stage1,GRID-0139,Grid,A,A,True,3,286.7562770843506,0.97265625,0.0260009765625
GRID-0140_stage1,GRID-0140,Grid,B,B,True,3,286.3643169403076,0.1328125,0.8671875
GRID-0141_stage1,GRID-0141,Grid,B,B,True,3,286.0536575317383,0.0673828125,0.93359375
GRID-0142_stage1,GRID-0142,Grid,A,A,True,3,345.4587459564209,0.96875,0.029296875
GRID-0143_stage1,GRID-0143,Grid,A,B,False,3,294.42501068115234,0.73046875,0.26953125
GRID-0144_stage1,GRID-0144,Grid,A,A,True,3,286.23151779174805,0.97265625,0.0260009765625
GRID-0145_stage1,GRID-0145,Grid,A,A,True,3,375.00810623168945,0.9609375,0.037353515625
GRID-0146_stage1,GRID-0146,Grid,B,B,True,3,298.1600761413574,0.4375,0.5625
GRID-0147_stage1,GRID-0147,Grid,A,B,False,3,291.92280769348145,0.53125,0.46875
GRID-0148_stage1,GRID-0148,Grid,A,A,True,3,291.02301597595215,0.9765625,0.02294921875
GRID-0149_stage1,GRID-0149,Grid,B,B,True,3,291.08428955078125,0.26953125,0.73046875
GRID-0150_stage1,GRID-0150,Grid,A,A,True,3,293.2019233703613,0.97265625,0.0260009765625
GRID-0151_stage1,GRID-0151,Grid,A,A,True,3,293.14470291137695,0.93359375,0.0673828125
GRID-0152_stage1,GRID-0152,Grid,B,B,True,3,293.33043098449707,0.06005859375,0.9375
GRID-0153_stage1,GRID-0153,Grid,B,B,True,3,310.15563011169434,0.09521484375,0.90234375
GRID-0154_stage1,GRID-0154,Grid,A,A,True,3,302.9005527496338,0.95703125,0.0419921875
GRID-0155_stage1,GRID-0155,Grid,A,A,True,3,336.43126487731934,0.953125,0.04736328125
GRID-0156_stage1,GRID-0156,Grid,B,B,True,3,310.1019859313965,0.29296875,0.70703125
GRID-0157_stage1,GRID-0157,Grid,A,A,True,4,305.3479194641113,0.98046875,0.0179443359375
GRID-0158_stage1,GRID-0158,Grid,A,A,True,3,293.7765121459961,0.9609375,0.037353515625
GRID-0159_stage1,GRID-0159,Grid,A,A,True,3,291.43404960632324,0.9609375,0.037353515625
GRID-0160_stage1,GRID-0160,Grid,A,A,True,3,305.5613040924072,0.98046875,0.0203857421875
GRID-0161_stage1,GRID-0161,Grid,B,B,True,3,402.3761749267578,0.2451171875,0.75390625
GRID-0162_stage1,GRID-0162,Grid,B,B,True,3,287.97149658203125,0.2451171875,0.75390625
GRID-0163_stage1,GRID-0163,Grid,A,A,True,3,291.9433116912842,0.8515625,0.1484375
GRID-0164_stage1,GRID-0164,Grid,B,B,True,3,290.79389572143555,0.1064453125,0.890625
GRID-0165_stage1,GRID-0165,Grid,A,A,True,3,340.4233455657959,0.87890625,0.119140625
GRID-0166_stage1,GRID-0166,Grid,B,B,True,3,308.11357498168945,0.1484375,0.8515625
GRID-0167_stage1,GRID-0167,Grid,A,A,True,3,300.6594181060791,0.77734375,0.22265625
GRID-0168_stage1,GRID-0168,Grid,B,B,True,3,339.78962898254395,0.2021484375,0.796875
GRID-0169_stage1,GRID-0169,Grid,B,B,True,3,355.2117347717285,0.04736328125,0.953125
GRID-0170_stage1,GRID-0170,Grid,A,A,True,3,285.17866134643555,0.8671875,0.1328125
GRID-0171_stage1,GRID-0171,Grid,A,A,True,3,285.28642654418945,0.94140625,0.06005859375
GRID-0172_stage1,GRID-0172,Grid,B,B,True,3,284.87539291381836,0.037353515625,0.9609375
GRID-0173_stage1,GRID-0173,Grid,A,A,True,3,284.8634719848633,0.81640625,0.1826171875
GRID-0174_stage1,GRID-0174,Grid,A,A,True,3,284.8680019378662,0.93359375,0.0673828125
GRID-0175_stage1,GRID-0175,Grid,A,B,False,3,284.4986915588379,0.77734375,0.22265625
GRID-0176_stage1,GRID-0176,Grid,A,A,True,3,285.59184074401855,0.90625,0.09521484375
GRID-0177_stage1,GRID-0177,Grid,A,A,True,3,285.51769256591797,0.9921875,0.00860595703125
GRID-0178_stage1,GRID-0178,Grid,B,B,True,3,286.99445724487305,0.201171875,0.796875
GRID-0179_stage1,GRID-0179,Grid,A,A,True,3,284.61670875549316,0.98828125,0.012451171875
GRID-0180_stage1,GRID-0180,Grid,A,A,True,3,284.2583656311035,0.9921875,0.007568359375
GRID-0181_stage1,GRID-0181,Grid,A,A,True,3,284.8052978515625,0.98046875,0.0179443359375
GRID-0182_stage1,GRID-0182,Grid,B,B,True,3,428.23076248168945,0.34765625,0.65234375
GRID-0183_stage1,GRID-0183,Grid,A,A,True,3,284.8780155181885,0.94140625,0.06005859375
GRID-0184_stage1,GRID-0184,Grid,B,B,True,3,284.47508811950684,0.1474609375,0.8515625
GRID-0185_stage1,GRID-0185,Grid,A,A,True,3,284.84582901000977,0.98046875,0.0203857421875
GRID-0186_stage1,GRID-0186,Grid,A,A,True,4,284.8091125488281,0.9609375,0.037353515625
GRID-0187_stage1,GRID-0187,Grid,B,B,True,3,285.4938507080078,0.1064453125,0.89453125
GRID-0188_stage1,GRID-0188,Grid,B,B,True,3,284.58380699157715,0.032958984375,0.96484375
GRID-0189_stage1,GRID-0189,Grid,A,A,True,3,284.97862815856934,0.984375,0.015869140625
GRID-0190_stage1,GRID-0190,Grid,B,B,True,3,284.8632335662842,0.201171875,0.796875
GRID-0191_stage1,GRID-0191,Grid,A,A,True,3,284.35301780700684,0.97265625,0.0260009765625
GRID-0192_stage1,GRID-0192,Grid,B,B,True,3,284.76691246032715,0.07568359375,0.921875
GRID-0193_stage1,GRID-0193,Grid,B,B,True,3,284.3360900878906,0.1474609375,0.8515625
GRID-0194_stage1,GRID-0194,Grid,A,A,True,3,372.4534511566162,0.8671875,0.1328125
GRID-0195_stage1,GRID-0195,Grid,A,A,True,3,284.4045162200928,0.96484375,0.033203125
GRID-0196_stage1,GRID-0196,Grid,A,A,True,3,284.4247817993164,0.87890625,0.119140625
GRID-0197_stage1,GRID-0197,Grid,A,A,True,3,284.68847274780273,0.92578125,0.07568359375
GRID-0198_stage1,GRID-0198,Grid,A,A,True,3,284.67535972595215,0.96875,0.029296875
GRID-0199_stage1,GRID-0199,Grid,B,B,True,3,284.7428321838379,0.2021484375,0.796875
GRID-0200_stage1,GRID-0200,Grid,A,A,True,3,284.2221260070801,0.93359375,0.0673828125
GRID-0201_stage1,GRID-0201,Grid,A,A,True,3,284.5444679260254,0.9453125,0.053466796875
GRID-0202_stage1,GRID-0202,Grid,A,A,True,3,284.5625877380371,0.90625,0.09521484375
GRID-0203_stage1,GRID-0203,Grid,B,B,True,3,284.23309326171875,0.0673828125,0.93359375
GRID-0204_stage1,GRID-0204,Grid,B,B,True,3,284.4405174255371,0.0849609375,0.9140625
GRID-0205_stage1,GRID-0205,Grid,B,B,True,3,284.2292785644531,0.053466796875,0.9453125
GRID-0206_stage1,GRID-0206,Grid,B,B,True,3,284.0855121612549,0.053466796875,0.9453125
GRID-0207_stage1,GRID-0207,Grid,A,A,True,3,284.18517112731934,0.90625,0.09521484375
GRID-0208_stage1,GRID-0208,Grid,A,A,True,3,285.2952480316162,0.94140625,0.06005859375
GRID-0209_stage1,GRID-0209,Grid,A,A,True,3,284.2562198638916,0.984375,0.015869140625
GRID-0210_stage1,GRID-0210,Grid,A,A,True,3,284.37352180480957,0.94140625,0.06005859375
GRID-0211_stage1,GRID-0211,Grid,B,B,True,3,359.01951789855957,0.29296875,0.703125
GRID-0212_stage1,GRID-0212,Grid,A,A,True,3,290.9255027770996,0.98828125,0.012451171875
GRID-0213_stage1,GRID-0213,Grid,B,B,True,3,291.27025604248047,0.46875,0.53125
GRID-0214_stage1,GRID-0214,Grid,B,B,True,3,291.26834869384766,0.22265625,0.77734375
GRID-0215_stage1,GRID-0215,Grid,A,B,False,3,290.6031608581543,0.73046875,0.26953125
GRID-0216_stage1,GRID-0216,Grid,B,B,True,3,290.50755500793457,0.26953125,0.73046875
GRID-0217_stage1,GRID-0217,Grid,B,B,True,3,290.02928733825684,0.06005859375,0.9375
GRID-0218_stage1,GRID-0218,Grid,A,A,True,3,289.9668216705322,0.98046875,0.0179443359375
GRID-0219_stage1,GRID-0219,Grid,A,A,True,3,290.44651985168457,0.96484375,0.033203125
GRID-0220_stage1,GRID-0220,Grid,A,A,True,3,290.05932807922363,0.8515625,0.1484375
GRID-0221_stage1,GRID-0221,Grid,B.,B,False,4,319.0906047821045,0.119140625,0.87890625
GRID-0222_stage1,GRID-0222,Grid,A,A,True,3,289.6730899810791,0.96875,0.029296875
GRID-0223_stage1,GRID-0223,Grid,B.,B,False,3,319.4880485534668,0.34765625,0.65234375
GRID-0224_stage1,GRID-0224,Grid,A,A,True,3,289.93940353393555,0.96484375,0.033203125
GRID-0225_stage1,GRID-0225,Grid,B,B,True,3,289.5479202270508,0.2021484375,0.796875
GRID-0226_stage1,GRID-0226,Grid,A,A,True,3,291.68105125427246,0.94140625,0.06005859375
GRID-0227_stage1,GRID-0227,Grid,A,A,True,3,289.83449935913086,0.93359375,0.0673828125
GRID-0228_stage1,GRID-0228,Grid,A,A,True,3,359.546422958374,0.89453125,0.1064453125
GRID-0229_stage1,GRID-0229,Grid,B,B,True,3,290.773868560791,0.1640625,0.8359375
GRID-0230_stage1,GRID-0230,Grid,B,B,True,3,290.56763648986816,0.2021484375,0.796875
GRID-0231_stage1,GRID-0231,Grid,A,A,True,3,290.5580997467041,0.6796875,0.3203125
GRID-0232_stage1,GRID-0232,Grid,B,B,True,3,290.8039093017578,0.1484375,0.8515625
GRID-0233_stage1,GRID-0233,Grid,B,B,True,3,357.2955131530762,0.02294921875,0.9765625
GRID-0234_stage1,GRID-0234,Grid,A,A,True,3,288.97786140441895,0.9765625,0.02294921875
GRID-0235_stage1,GRID-0235,Grid,B,B,True,3,290.9116744995117,0.04736328125,0.953125
GRID-0236_stage1,GRID-0236,Grid,A,A,True,3,291.7020320892334,0.9453125,0.053466796875
GRID-0237_stage1,GRID-0237,Grid,A,A,True,3,291.1031246185303,0.8359375,0.1640625
GRID-0238_stage1,GRID-0238,Grid,B,B,True,3,297.9929447174072,0.06005859375,0.94140625
GRID-0239_stage1,GRID-0239,Grid,B,B,True,3,291.25189781188965,0.46875,0.53125
GRID-0240_stage1,GRID-0240,Grid,B,B,True,3,290.6680107116699,0.1640625,0.8359375
GRID-0241_stage1,GRID-0241,Grid,B,B,True,3,290.57836532592773,0.2451171875,0.75390625
GRID-0242_stage1,GRID-0242,Grid,A,A,True,3,290.2355194091797,0.81640625,0.1826171875
GRID-0243_stage1,GRID-0243,Grid,A,B,False,3,292.4325466156006,0.796875,0.2021484375
GRID-0244_stage1,GRID-0244,Grid,A,A,True,3,291.7916774749756,0.9140625,0.0849609375
GRID-0245_stage1,GRID-0245,Grid,A,A,True,3,290.4038429260254,0.9921875,0.007568359375
GRID-0246_stage1,GRID-0246,Grid,A,A,True,3,294.0695285797119,0.9609375,0.037353515625
GRID-0247_stage1,GRID-0247,Grid,A,B,False,3,290.27724266052246,0.8359375,0.1640625
GRID-0248_stage1,GRID-0248,Grid,B,B,True,3,290.42768478393555,0.22265625,0.77734375
GRID-0249_stage1,GRID-0249,Grid,A,A,True,3,291.6998863220215,0.98828125,0.010986328125
GRID-0250_stage1,GRID-0250,Grid,A,B,False,3,296.91243171691895,0.53125,0.46875
GRID-0251_stage1,GRID-0251,Grid,B,B,True,3,290.53473472595215,0.1640625,0.8359375
GRID-0252_stage1,GRID-0252,Grid,B,B,True,3,291.3055419921875,0.06005859375,0.94140625
GRID-0253_stage1,GRID-0253,Grid,A,A,True,3,291.4555072784424,0.9609375,0.037353515625
GRID-0254_stage1,GRID-0254,Grid,B,B,True,3,352.1308898925781,0.4375,0.5625
GRID-0255_stage1,GRID-0255,Grid,A,A,True,3,296.281099319458,0.984375,0.0140380859375
GRID-0256_stage1,GRID-0256,Grid,A,A,True,3,288.12479972839355,0.98828125,0.010986328125
GRID-0257_stage1,GRID-0257,Grid,B,B,True,3,288.0096435546875,0.09521484375,0.90234375
GRID-0258_stage1,GRID-0258,Grid,A,A,True,3,291.69750213623047,0.87890625,0.119140625
GRID-0259_stage1,GRID-0259,Grid,B,B,True,3,329.986572265625,0.26953125,0.73046875
GRID-0260_stage1,GRID-0260,Grid,B,B,True,3,291.6548252105713,0.34765625,0.6484375
GRID-0261_stage1,GRID-0261,Grid,B,B,True,3,289.4113063812256,0.2451171875,0.75390625
GRID-0262_stage1,GRID-0262,Grid,A,A,True,3,290.26198387145996,0.8515625,0.1484375
GRID-0263_stage1,GRID-0263,Grid,A,A,True,3,290.07530212402344,0.90625,0.09521484375
GRID-0264_stage1,GRID-0264,Grid,B,B,True,3,331.94780349731445,0.119140625,0.87890625
GRID-0265_stage1,GRID-0265,Grid,A,A,True,3,291.5041446685791,0.984375,0.015869140625
GRID-0266_stage1,GRID-0266,Grid,A,A,True,3,290.22908210754395,0.984375,0.015869140625
GRID-0267_stage1,GRID-0267,Grid,A,A,True,3,289.5174026489258,0.96875,0.029296875
GRID-0268_stage1,GRID-0268,Grid,A,A,True,3,290.79389572143555,0.98828125,0.00970458984375
GRID-0269_stage1,GRID-0269,Grid,A,A,True,3,379.75621223449707,0.98828125,0.010986328125
GRID-0270_stage1,GRID-0270,Grid,A,A,True,3,288.17248344421387,0.97265625,0.0260009765625
GRID-0271_stage1,GRID-0271,Grid,B,B,True,3,302.50096321105957,0.22265625,0.77734375
GRID-0272_stage1,GRID-0272,Grid,B,B,True,3,287.4321937561035,0.02294921875,0.9765625
GRID-0273_stage1,GRID-0273,Grid,A,A,True,3,286.76676750183105,0.9921875,0.00860595703125
GRID-0274_stage1,GRID-0274,Grid,A,A,True,3,287.6157760620117,0.98046875,0.0179443359375
GRID-0275_stage1,GRID-0275,Grid,A,A,True,3,288.53511810302734,0.97265625,0.0260009765625
GRID-0276_stage1,GRID-0276,Grid,B,B,True,3,361.6137504577637,0.1328125,0.8671875
GRID-0277_stage1,GRID-0277,Grid,A,A,True,3,291.41831398010254,0.9765625,0.02294921875
