filename,grid_size,xo_ratio,distribution,num_O,num_X
xo_20x20_90pctO_random.png,20,90%O,random,360,40
xo_20x20_90pctO_clustered.png,20,90%O,clustered,360,40
xo_20x20_90pctO_symmetric.png,20,90%O,symmetric,358,42
xo_20x20_70pctO_uniform.png,20,70%O,uniform,280,120
xo_20x20_70pctO_random.png,20,70%O,random,280,120
xo_20x20_70pctO_clustered.png,20,70%O,clustered,280,120
xo_20x20_70pctO_symmetric.png,20,70%O,symmetric,288,112
xo_20x20_50_50_uniform.png,20,50/50,uniform,200,200
xo_20x20_50_50_random.png,20,50/50,random,200,200
xo_20x20_50_50_clustered.png,20,50/50,clustered,200,200
xo_20x20_50_50_symmetric.png,20,50/50,symmetric,212,188
xo_20x20_70pctX_uniform.png,20,70%X,uniform,120,280
xo_20x20_70pctX_random.png,20,70%X,random,120,280
xo_20x20_70pctX_clustered.png,20,70%X,clustered,120,280
xo_20x20_70pctX_symmetric.png,20,70%X,symmetric,124,276
xo_20x20_90pctX_uniform.png,20,90%X,uniform,40,360
xo_20x20_90pctX_random.png,20,90%X,random,40,360
xo_20x20_90pctX_clustered.png,20,90%X,clustered,40,360
xo_20x20_90pctX_symmetric.png,20,90%X,symmetric,34,366
xo_20x20_100pctX_uniform.png,20,100%X,uniform,0,400
xo_20x20_100pctX_random.png,20,100%X,random,0,400
xo_20x20_100pctX_clustered.png,20,100%X,clustered,0,400
xo_20x20_100pctX_symmetric.png,20,100%X,symmetric,0,400
xo_25x25_100pctO_uniform.png,25,100%O,uniform,625,0
xo_25x25_100pctO_random.png,25,100%O,random,625,0
xo_25x25_100pctO_clustered.png,25,100%O,clustered,625,0
xo_25x25_100pctO_symmetric.png,25,100%O,symmetric,625,0
xo_25x25_90pctO_uniform.png,25,90%O,uniform,562,63
xo_25x25_90pctO_random.png,25,90%O,random,562,63
xo_25x25_90pctO_clustered.png,25,90%O,clustered,562,63
xo_25x25_90pctO_symmetric.png,25,90%O,symmetric,571,54
xo_25x25_70pctO_uniform.png,25,70%O,uniform,438,187
xo_25x25_70pctO_random.png,25,70%O,random,438,187
xo_25x25_70pctO_clustered.png,25,70%O,clustered,438,187
xo_25x25_70pctO_symmetric.png,25,70%O,symmetric,421,204
xo_25x25_50_50_uniform.png,25,50/50,uniform,312,313
xo_25x25_50_50_random.png,25,50/50,random,312,313
xo_25x25_50_50_clustered.png,25,50/50,clustered,312,313
xo_25x25_50_50_symmetric.png,25,50/50,symmetric,316,309
xo_25x25_70pctX_uniform.png,25,70%X,uniform,188,437
xo_25x25_70pctX_random.png,25,70%X,random,188,437
xo_25x25_70pctX_clustered.png,25,70%X,clustered,188,437
xo_25x25_70pctX_symmetric.png,25,70%X,symmetric,174,451
xo_25x25_90pctX_uniform.png,25,90%X,uniform,62,563
xo_25x25_90pctX_random.png,25,90%X,random,62,563
xo_25x25_90pctX_clustered.png,25,90%X,clustered,62,563
xo_25x25_90pctX_symmetric.png,25,90%X,symmetric,66,559
xo_25x25_100pctX_uniform.png,25,100%X,uniform,0,625
xo_25x25_100pctX_random.png,25,100%X,random,0,625
xo_25x25_100pctX_clustered.png,25,100%X,clustered,0,625
xo_25x25_100pctX_symmetric.png,25,100%X,symmetric,0,625
